ID,EDU,SAL,EXP,HAB,EDM,EDP,HER
113,15,9.29,5,0.64,12,12,3
114,12,5.98,13,-1.71,12,13,3
115,15,6.11,1,0.99,14,14,8
116,11,5.2,1,0.38,14,14,8
117,14,5.98,1,0.91,12,18,2
118,10,10.8,6,0.2,12,12,2
119,12,12.67,4,1.29,11,12,3
120,11,7.02,1,1.05,11,12,3
121,11,6.48,2,1.29,12,12,5
122,16,6.82,2,0.9,16,16,6
123,12,10.38,7,0.62,12,12,5
124,13,10.8,6,0.42,11,12,2
125,12,7.02,3,-0.59,14,11,7
126,12,9.02,1,0.25,12,16,1
127,15,5.47,1,1.04,16,20,2
128,15,5.75,3,1.48,16,20,2
129,12,14.87,4,-0.47,12,12,4
130,12,7.92,3,-2.27,12,12,2
131,11,5.75,2,-2.01,12,11,2
132,12,6.35,2,0.42,8,8,4
133,12,7.92,2,-0.67,7,12,5
134,11,7.31,1,0.22,12,12,0
135,12,5.75,1,-1.51,12,9,1
136,14,6.88,6,1.28,16,14,1
137,15,26.57,4,1.13,14,16,1
138,12,4.09,4,-2,12,12,3
139,12,11.94,4,-0.34,12,12,4
140,11,5.98,1,-0.43,12,12,4
141,11,9.87,2,0.71,12,12,1
142,15,9.02,4,0.02,12,14,2
143,15,10.38,5,0.59,15,14,2
144,15,4.01,2,1.25,12,18,2
145,12,11.47,2,0.38,12,12,1
146,13,10.59,1,0.8,12,12,3
147,12,6.48,3,1.09,12,12,3
148,11,5.81,2,-0.61,16,12,3
149,10,7.53,8,-1.63,8,6,4
150,9,4.75,11,-0.72,8,12,2
151,12,10.59,9,0.51,12,12,1
152,16,7.02,3,0.12,12,12,2
153,18,31.5,8,1.02,16,16,2
154,17,8.93,4,0.84,16,16,2
155,12,16.6,5,-0.03,12,10,4
156,11,5.36,4,-1.09,12,10,4
157,12,6.42,3,-0.07,12,14,2
158,11,5.2,2,0.26,15,14,4
159,14,8.24,4,0.3,12,18,3
160,12,12.8,4,-0.51,12,12,3
161,12,8.67,4,0.52,12,12,3
162,12,16.6,2,-0.81,12,11,4
163,12,8.33,3,0.97,16,12,3
164,12,8,3,-0.79,12,12,3
165,11,5.31,1,-0.05,14,9,3
166,12,5.15,1,1.48,12,12,2
167,13,8.84,3,1.4,12,12,2
168,13,14.15,1,0.28,10,10,0
169,12,13.19,2,-1.01,11,11,2
170,9,4.9,7,-0.14,9,10,4
171,10,4.01,9,-1.89,8,7,9
172,12,7.92,3,0.96,8,8,3
173,10,9.77,9,-0.91,8,8,3
174,12,4.13,2,-1.06,12,12,1
175,12,10.69,2,-0.06,12,10,2
176,11,15.48,5,-0.79,9,16,5
177,12,3.15,2,0.07,12,16,3
178,16,6.11,2,1.25,12,16,7
179,15,5.41,2,0.76,12,12,3
180,14,8.41,4,1.31,12,16,4
181,12,3.97,2,-0.07,12,18,2
182,17,4.71,3,0.09,12,13,1
183,12,11.13,3,-0.92,12,12,5
184,12,9.48,5,-0.34,12,12,5
185,12,7.92,1,0.98,12,12,4
186,12,5.15,1,1.89,12,12,4
187,12,6.35,1,0.38,12,16,3
188,12,5.81,2,0.01,14,16,1
189,15,8.93,2,1.02,12,16,4
190,11,6.95,2,-0.15,12,12,3
191,12,7.61,3,1.06,12,12,1
192,12,8.49,4,0.69,12,15,1
193,10,5.25,5,-0.39,12,11,3
194,11,8.16,1,0.63,11,14,5
195,12,18.35,3,0.65,15,16,7
196,12,6.42,2,-1.01,16,16,7
197,10,10.48,6,-0.76,10,9,12
198,12,7.76,4,0.56,12,12,3
199,12,6.88,2,0.21,12,12,2
200,12,6.11,1,0.54,12,15,1
201,11,5.31,1,0.35,12,15,1
202,10,4.3,7,-1.38,13,14,2
203,15,19.88,3,1.15,12,14,2
204,12,8.49,2,0.49,12,18,1
205,16,9.87,4,1.04,17,17,2
206,17,8.67,2,0.9,12,12,1
207,17,14.15,4,1.25,16,13,0
208,12,10.91,3,-0.24,12,16,5
209,11,4.8,1,0.64,12,16,1
210,11,5.2,2,1.12,12,10,2
211,12,5.92,7,0.84,11,8,4
212,12,5.58,6,-2.31,8,4,10
213,12,16.6,3,-0.88,12,12,2
214,12,1.8,8,-0.34,12,12,2
215,16,8.08,4,0.81,12,12,2
216,12,6.11,4,0.87,10,14,2
217,12,16.94,7,-1.31,3,12,5
218,9,5,5,-0.95,14,9,3
219,9,2.41,9,-1.59,12,12,2
220,12,5.98,2,-0.19,11,10,0
221,10,3.59,10,-0.43,9,9,4
222,15,6.75,5,0.26,9,6,4
223,12,5.69,1,-0.44,8,8,4
224,11,2.58,3,-0.76,12,9,2
225,11,9.58,2,-0.87,12,9,3
226,12,8.16,2,0.36,12,12,2
227,12,8.49,3,-1.72,8,6,5
228,11,11.58,7,-0.34,11,12,6
229,12,3.89,3,-1.3,9,15,3
230,12,19.1,3,0.39,12,12,2
231,12,19.68,1,0.49,12,12,3
232,12,8.84,4,0.11,12,12,3
233,12,8.49,2,0.23,12,12,3
234,12,17.99,4,-0.35,8,8,1
235,11,5.31,1,-0.34,12,8,6
236,11,5.31,1,0.32,14,12,1
237,12,10.48,7,-0.52,12,8,1
238,12,19.49,7,-1.12,13,14,3
239,15,4.26,2,-0.56,13,14,3
240,12,24.04,2,-0.97,8,12,5
241,12,5.36,5,-0.78,10,12,6
242,12,7.76,9,-0.38,8,12,5
243,12,8.58,4,-1.08,14,8,4
244,9,5.47,3,-1.53,12,12,3
245,12,6.11,3,-0.22,12,12,1
246,12,16.11,2,0.03,12,14,1
247,11,5.98,2,-0.19,10,12,4
248,15,16.11,4,1.6,12,13,2
249,12,9.48,0,1.06,12,13,2
250,15,10.07,5,1.05,12,13,2
251,12,14.43,4,-1.22,10,10,6
252,12,5.75,2,0.02,10,12,2
253,12,17.63,3,-0.69,8,7,4
254,12,12.67,7,0.7,12,11,2
255,14,7.46,1,0.29,12,17,4
256,12,14.73,4,1.7,12,12,1
257,12,5.58,2,0,12,13,0
258,15,9.58,3,1.21,11,12,2
259,11,6.82,2,0.46,11,12,2
260,10,4.57,3,0.02,12,12,4
261,12,10.07,12,-1.06,11,6,5
262,11,5.75,1,-1.2,12,12,3
263,13,5.98,1,0.96,12,12,3
264,18,14.43,3,1.09,12,12,4
265,17,8.24,0,0.9,12,13,1
266,12,6.95,6,0.3,16,17,1
267,12,4.48,3,0.67,12,14,0
268,12,11.94,4,-1.11,12,12,1
269,10,5.75,2,-1,12,16,1
270,15,8.24,7,-0.45,16,16,2
271,16,11.47,4,0.81,12,16,1
272,12,5.75,1,-1.43,8,11,1
273,12,3.78,6,-0.48,13,11,3
274,12,5.31,2,0.19,12,11,4
275,12,10.91,3,0.19,13,12,1
276,12,8.75,3,1.38,12,12,3
277,12,5.98,4,-1.11,12,12,4
278,12,5.41,4,0.66,11,12,4
279,12,6.17,2,-0.25,14,16,3
280,12,11.02,2,0.32,12,16,1
281,12,5.58,2,1.26,15,18,3
282,10,5.31,2,-1.69,9,12,5
283,9,2.74,6,0.34,12,13,5
284,13,7.61,4,1.27,16,17,4
285,15,1.97,1,0.94,16,16,6
286,10,5.25,1,0.55,16,16,6
287,14,3.52,5,1.06,20,20,2
288,12,8,5,-0.76,14,14,3
289,17,17.99,6,1.25,12,14,4
290,12,11.94,1,0.28,12,14,4
291,15,4.95,1,0.34,11,10,7
292,13,9.58,2,0.61,13,16,1
293,16,4.8,1,1.02,12,12,4
294,13,7.31,2,0.71,12,12,4
295,16,5.58,4,0.87,12,10,2
296,13,14.87,1,1.12,14,16,2
297,10,7.61,8,-0.36,10,13,3
298,12,4.66,2,-0.5,12,12,3
299,15,12.42,4,1.08,12,12,3
300,12,3.66,3,-0.95,12,12,3
301,12,9.58,3,0.15,10,11,6
302,15,3,1,1.07,12,13,2
303,15,16.11,3,0.99,12,14,2
304,14,14.29,3,0.82,12,14,15
305,12,7.31,4,0.89,12,12,2
306,12,12.42,5,0.27,12,9,5
307,10,6.17,1,1.17,12,12,6
308,11,2.13,1,-0.5,12,12,6
309,13,9.87,2,-0.26,12,12,3
310,16,7.76,1,1.38,12,12,0
311,14,3.45,1,0.03,12,12,1
312,11,6.23,1,0.97,12,12,1
313,13,18.17,3,0.77,10,12,9
314,10,5.98,1,-0.99,11,12,9
315,12,5.58,1,-0.21,12,12,3
316,12,9.58,3,0.51,12,12,2
317,11,7.02,1,0.25,12,12,2
318,10,8.75,2,-0.75,12,12,6
319,12,4.66,4,0.2,8,12,1
320,14,22.19,7,1.11,15,16,3
321,15,4.22,4,1.35,15,16,3
322,15,2.82,3,1.36,15,16,3
323,12,8.16,4,-1.24,12,10,7
324,11,11.94,2,0.23,8,10,6
325,12,6.61,2,0.31,12,12,4
326,12,4.26,4,1.01,12,12,2
327,11,11.13,2,1.25,11,12,3
328,12,15.95,3,-0.6,10,8,5
329,15,7.46,5,-0.77,12,20,7
330,12,5.36,5,0.44,13,12,6
331,12,6.04,2,0.87,12,16,3
332,12,12.93,2,0.09,12,16,8
333,12,7.92,2,-0.18,12,15,2
334,12,1.93,3,0.07,12,12,1
335,14,1.82,1,0.11,12,16,3
336,12,11.13,6,-0.06,12,11,2
337,11,4.05,1,1.04,10,12,2
338,11,6.35,2,-0.11,12,12,0
339,12,5.2,3,-1.62,8,8,3
340,14,6.61,7,1.3,9,8,3
341,16,4.95,9,1.06,14,16,0
342,15,5.31,3,0.73,16,16,2
343,9,5.31,2,-0.29,14,14,6
344,12,3.52,2,-1.47,12,9,2
345,16,11.13,4,1.22,8,12,2
346,12,5.58,1,1.19,12,12,3
347,15,6.35,3,0.6,12,12,3
348,13,4.22,2,0.94,12,16,1
349,12,9.87,3,-0.31,10,14,6
350,12,10.17,3,0.56,12,12,4
351,12,10.48,4,0.53,12,12,7
352,12,5.98,2,0.53,16,16,3
353,12,5.47,1,0.39,8,12,1
354,10,5.81,7,-0.32,8,5,8
355,12,6.75,7,-0.55,8,5,8
356,12,7.92,3,-0.25,12,9,2
357,11,7.09,5,-1.44,12,7,1
358,14,7.24,10,0.35,16,16,4
359,16,9.39,1,0.78,16,16,4
360,14,16.77,5,0.26,14,16,1
361,12,14.87,5,-0.04,12,16,0
362,12,5.98,1,0.92,12,16,2
363,11,9.97,5,-1.04,8,8,0
364,12,3.81,2,-0.41,17,17,3
365,10,6.04,3,0.36,13,12,3
366,12,8.33,7,0.48,14,14,4
367,15,16.77,6,0.43,14,14,4
368,15,7.92,2,0.6,18,20,4
369,15,6.68,3,0.67,16,20,4
370,11,7.46,4,0.13,16,20,4
371,12,4.8,1,-1.8,12,18,3
372,12,9.11,5,0.22,12,14,3
373,12,9.67,2,-0.22,12,14,3
374,11,6.82,2,-0.42,11,8,3
375,15,9.11,4,1.27,14,11,2
376,15,4.48,2,0.16,12,18,2
377,13,9.48,2,-0.81,14,9,2
378,16,3.93,2,1.3,16,17,2
379,16,10.48,1,1.21,16,16,2
380,11,5.69,1,1.16,12,12,2
381,12,6.68,3,-1.03,12,13,4
382,12,4.71,2,-0.55,12,17,3
383,13,4.13,6,-0.49,12,12,1
384,10,18.54,7,-0.11,11,6,3
385,12,7.17,3,-0.38,9,12,2
386,12,4.8,4,-0.31,12,12,1
387,11,9.39,4,0.15,11,11,3
388,12,5.98,2,-1.13,13,12,2
389,9,4.26,5,-0.57,12,12,1
390,9,6.35,7,-1.46,12,12,2
391,12,5.52,3,-0.17,12,12,2
392,12,2.27,11,0.18,12,12,2
393,15,5.81,1,1.24,12,12,2
394,12,11.02,2,-0.26,12,9,2
395,10,10.48,2,0.59,12,9,2
396,12,4.39,2,-0.42,12,12,5
397,11,8.67,6,-0.22,12,12,2
398,9,7.17,4,-1.34,10,14,2
399,12,7.09,6,-0.52,12,0,15
400,11,3.97,1,0.09,12,12,4
401,15,17.46,3,-0.16,11,11,4
402,15,11.94,3,0.43,14,17,1
403,10,7.09,3,-2.09,6,3,1
404,13,6.95,5,0.95,11,11,2
405,15,10.91,4,0.81,12,8,3
406,11,4.43,8,-0.98,11,4,2
407,9,8.08,5,-1.91,9,3,4
408,12,7.69,3,0.09,10,12,3
409,12,4.39,1,-1.06,11,12,3
410,12,6.42,3,-0.73,11,12,2
411,11,5.31,1,0.01,12,12,1
412,12,7.84,5,-1.65,12,12,3
413,12,6.04,1,0.06,12,12,3
414,15,15.48,5,0.65,14,20,8
415,15,3.18,4,0.64,12,16,7
416,15,6.48,2,0.84,12,16,7
417,12,6.11,2,0.25,11,11,3
418,12,7.92,2,-0.62,14,16,4
419,12,7.31,8,-0.4,16,16,2
420,12,7.46,3,0.73,12,16,3
421,12,9.11,4,-0.85,8,8,7
422,11,9.77,5,-2.02,9,8,6
423,9,3.89,5,-0.9,9,12,4
424,11,7.24,2,-0.43,9,12,2
425,12,7.53,9,0.8,12,14,2
426,12,7.46,2,0.81,12,16,2
427,14,11.13,5,-0.26,10,20,3
428,15,8.93,5,-0.09,10,20,3
429,10,12.67,5,-0.66,12,12,3
430,10,11.35,3,-2.27,6,4,5
431,10,11.94,7,-0.32,10,10,1
432,15,2.03,4,0.12,12,12,4
433,15,1.66,1,1.15,13,17,2
434,13,9.48,4,0.31,12,10,1
435,12,4.75,1,1.14,12,12,1
436,12,7.61,2,-0.82,6,9,1
437,16,17.99,5,1.44,16,16,3
438,19,10.17,1,1.06,16,18,1
439,14,7.53,2,0.93,18,14,1
440,12,7.46,2,1,12,19,3
441,10,5.98,2,1.22,14,16,3
442,17,9.58,4,0.78,13,12,1
443,12,7.61,4,-1.21,16,14,2
444,11,6.11,1,0.07,12,11,2
445,13,14.58,6,1.02,12,16,9
446,10,6.95,2,-0.7,12,7,4
447,9,4.61,2,-1.27,12,10,4
448,12,6.11,3,-1.28,12,14,4
449,11,6.95,3,-0.11,12,13,5
450,12,5.98,2,0.27,12,14,4
451,11,2.15,2,1.04,12,14,4
452,12,6.75,3,0.87,12,14,4
453,11,6.75,1,-0.71,12,14,3
454,12,12.3,3,-0.68,12,18,1
455,18,17.11,6,1.33,15,8,6
456,14,15.64,2,1.08,12,15,3
457,13,8.16,4,-0.12,12,13,5
458,11,5.98,2,0.63,12,12,4
459,10,7.24,5,-0.79,12,12,3
460,12,15.95,4,0.29,12,12,3
461,12,5.2,3,-0.02,16,13,1
462,12,8.84,7,-0.58,11,11,3
463,12,7.38,5,-0.26,11,11,3
464,12,2.48,7,-0.1,12,10,7
465,9,20.49,5,-0.22,12,12,6
466,12,7.17,1,0.6,10,12,1
467,11,6.11,1,0.12,12,12,2
468,11,5.2,1,0.09,12,12,2
469,15,31.5,3,-0.42,13,13,5
470,11,5,1,1,12,12,2
471,12,2.74,7,0.61,12,12,3
472,11,4.71,1,0.09,12,12,3
473,12,6.17,4,0.3,12,12,5
474,16,17.81,5,0.57,12,8,4
475,15,20.9,4,0.84,12,12,4
476,12,22.87,4,0.31,14,18,2
477,15,2.48,2,1.67,16,14,3
478,9,4.95,6,-0.02,16,14,3
479,14,7.69,3,0.99,12,12,3
480,12,6.35,1,1.72,12,16,3
481,11,6.17,1,1.77,12,16,3
482,10,5.1,2,0.15,12,12,6
483,10,6.29,2,-0.18,12,12,6
484,12,5.52,1,-0.27,16,16,1
485,12,15.79,4,0.53,12,12,4
486,13,12.67,2,-0.81,6,4,1
487,12,15.95,5,-1.63,6,4,1
488,11,6.95,4,0.34,12,12,2
489,13,5.98,3,0.1,12,12,6
490,11,11.35,7,-1.33,12,12,8
491,14,4.39,3,0.87,12,14,5
492,10,5.81,3,0.48,12,12,3
493,12,7.92,3,0.25,12,16,2
494,16,16.44,2,1.71,18,18,1
495,10,11.47,6,0.19,12,8,3
496,10,4.95,2,0.51,13,13,5
497,10,7.92,1,1.14,14,12,3
498,11,5.41,1,-0.39,18,14,2
499,11,6.95,1,-0.34,12,12,1
500,11,6.23,8,-1.61,6,6,4
501,12,10.38,3,-0.81,11,6,6
502,12,7.46,2,-0.3,12,12,1
503,14,8.93,4,0.68,17,20,3
504,15,6.95,2,-0.22,16,16,3
505,11,9.67,5,-1.97,2,2,10
506,12,9.02,4,-1.96,9,6,11
507,12,4.85,2,0.5,12,12,4
508,12,8.49,1,1.44,12,20,3
509,10,1.43,10,-0.93,12,12,3
510,10,10.38,4,-0.01,12,12,3
511,12,8.16,2,0.2,14,12,3
512,12,6.68,2,1.17,20,20,1
513,12,7.53,4,-0.34,11,16,3
514,11,5.98,1,0.16,13,20,2
515,12,5.98,2,-0.49,14,20,2
516,12,6.11,1,0.42,14,13,1
517,12,9.58,1,1.23,16,16,2
518,13,15.95,6,1.27,10,18,3
519,11,11.47,6,-0.8,12,12,0
520,12,12.42,3,0.01,11,11,0
521,11,5.41,5,0.73,11,10,4
522,12,9.67,6,-1.73,12,14,5
523,12,5.31,2,0.75,12,15,1
524,12,5,1,0.71,12,12,2
525,12,6.04,2,0.78,13,15,1
526,12,8.93,3,0.7,12,12,1
527,12,2.05,6,-0.65,12,14,3
528,12,6.17,2,1.17,12,16,5
529,12,11.35,9,-0.64,11,12,2
530,12,10.48,2,0.17,12,12,2
531,11,6.75,1,0.31,12,12,2
532,9,7.09,6,-0.74,12,9,9
533,9,8.16,7,-1.42,12,9,9
534,14,3.45,3,0.38,2,0,6
535,16,19.1,2,1.11,14,16,1
536,14,7.61,6,-0.35,8,4,3
537,13,5.36,1,0.89,12,13,2
538,12,4.61,6,0.33,18,20,5
539,12,8.75,4,-0.46,12,12,5
540,12,13.59,2,1.23,10,12,1
541,12,3.09,5,-1.04,8,8,3
542,15,8.33,4,0.59,12,12,1
543,12,6.17,2,0.06,12,12,2
544,12,3.97,4,0.69,12,12,2
545,12,7.38,3,-0.55,12,12,2
546,12,4.09,4,-1.93,8,9,3
547,12,5.15,7,-0.15,8,9,3
548,12,5.69,8,-1.23,8,9,3
549,12,5.58,2,-0.06,12,12,2
550,13,11.13,8,0.05,12,14,3
551,13,9.77,2,0.93,12,12,1
552,12,8,4,-1.1,10,9,3
553,12,10.07,3,-0.51,11,11,2
554,12,11.94,2,0.32,11,12,2
555,12,9.77,3,0.36,12,12,2
556,12,2.01,15,0.64,12,12,1
557,12,7.31,1,0.83,12,10,1
558,18,8.93,9,0.79,16,16,2
559,12,6.88,3,-1.12,12,12,1
560,12,7.24,1,0.33,12,12,2
561,13,5.52,4,-0.26,12,12,2
562,11,11.35,2,-0.32,11,16,3
563,11,6.17,1,0.94,12,12,2
564,14,5.15,1,1.05,12,12,1
565,13,6.75,3,1.03,12,11,1
566,13,3.49,1,0.74,12,16,1
567,16,10.69,2,0.34,12,15,2
568,13,4.48,3,0.99,12,16,1
569,12,5.52,3,-1.96,12,12,3
570,12,8.75,3,0.76,13,13,5
571,11,7.24,6,-0.75,8,9,4
572,12,8.67,4,0.59,12,17,5
573,12,8.16,2,0.78,12,12,2
574,12,11.94,4,-0.94,12,8,3
575,12,4.85,2,0.22,12,14,1
576,12,10.8,9,0.89,12,12,4
577,12,5,2,-0.08,12,12,2
578,13,9.77,4,-0.5,12,12,2
579,12,10.8,4,0.65,12,10,2
580,10,4.52,9,-1.87,10,9,1
581,12,12.67,3,-0.1,12,12,3
582,12,5.58,2,-1.21,17,17,1
583,12,7.84,8,-0.09,17,17,1
584,9,9.58,10,-1.36,12,4,4
585,12,7.02,8,-0.85,12,3,4
586,12,6.35,7,0.11,9,12,2
587,12,5,2,0.19,11,12,2
588,11,6.61,2,0.04,12,12,6
589,11,3.22,10,-2.5,12,12,7
590,15,9.2,4,1.09,12,16,2
591,15,14.73,5,-0.06,16,12,2
592,14,4.17,3,1.32,12,12,0
593,18,12.06,3,0.83,16,18,1
594,12,5.05,5,0.38,12,14,3
595,11,3.49,4,-1.7,7,8,5
596,12,7.61,1,0.38,12,9,3
597,11,6.75,1,0.87,12,11,3
598,11,5.81,2,-0.34,12,11,3
599,12,2.77,1,-0.94,12,12,2
600,15,13.19,6,1.32,17,20,1
601,11,8.16,4,0.37,11,11,6
602,17,4.85,2,0.92,16,12,2
603,11,6.82,8,-2.11,12,14,2
604,12,5.52,4,-0.78,12,15,2
605,12,5,1,0.31,12,12,1
606,10,7.17,4,-0.12,11,9,3
607,17,5.31,1,1.35,13,17,1
608,14,35.87,6,0.49,12,12,5
609,12,4.66,6,0.45,12,12,5
610,15,6.48,4,0.48,6,13,11
611,12,7.02,6,0.75,13,8,4
612,12,9.2,9,-0.33,13,8,4
613,13,7.38,9,0.24,12,12,0
614,16,14.01,3,1.39,10,12,4
615,10,5.05,4,-1.46,12,7,3
616,12,11.24,3,0.13,12,12,3
617,12,5.25,1,0.07,12,12,2
618,12,5.15,5,0.14,12,13,2
619,12,3.35,2,1.47,14,16,3
620,12,11.7,4,0.41,10,12,6
621,12,5.81,6,0.27,11,11,8
622,12,6.17,3,-0.58,12,12,6
623,11,7.38,2,0.17,12,12,6
624,10,3.93,2,-0.77,12,12,6
625,10,3.74,5,-0.77,12,12,6
626,12,11.24,6,0.33,12,12,4
627,20,34.12,6,1.43,12,12,3
628,14,8.49,5,-0.71,12,12,4
629,12,11.13,2,-0.58,12,12,4
630,12,10.38,4,1.41,12,10,3
631,12,12.55,2,0.93,12,8,3
632,12,12.42,3,0.02,12,12,1
633,12,5.47,2,0.82,12,12,1
634,12,5.2,2,0.21,12,14,2
635,11,4.9,1,1.31,14,14,6
636,12,5,1,1.04,12,14,6
637,9,3.97,2,1.55,10,12,2
638,12,7.02,4,-1.22,12,12,5
639,9,12.8,9,-0.74,12,12,4
640,11,5.69,2,-0.74,12,12,3
641,12,15.95,3,-0.81,10,8,0
642,12,9.97,4,0.09,12,16,5
643,11,5,1,-0.91,12,12,1
644,11,6.61,14,0.08,11,12,1
645,13,6.55,2,1.2,14,14,0
646,12,9.97,5,-0.03,12,12,2
647,13,6.68,2,1.08,12,12,2
648,11,5.81,6,-0.4,11,6,4
649,12,7.46,3,-0.31,12,10,0
650,15,2.41,1,0.86,14,14,2
651,13,9.02,2,-0.46,13,9,1
652,12,6.55,2,0.44,12,11,0
653,9,4.95,3,0.86,12,16,3
654,11,6.68,2,-0.09,3,8,3
655,11,7.02,2,0.58,11,10,4
656,13,6.48,1,-0.32,12,12,2
657,13,5.81,5,0.59,16,16,5
658,15,8.41,3,0.83,16,16,5
659,12,6.35,3,-0.02,12,14,1
660,15,13.59,4,0.51,12,13,5
661,12,9.39,4,-0.52,10,11,1
662,12,6.95,3,0.06,12,6,2
663,14,8.58,3,0.71,12,12,1
664,12,3.74,3,0.29,11,12,0
665,12,8.49,1,0.28,14,9,2
666,15,5.15,2,0.4,14,16,2
667,12,3.59,6,-0.23,12,10,1
668,16,11.02,2,1.38,12,10,1
669,15,3.66,11,1.34,12,18,2
670,11,3.85,1,0,10,10,2
671,12,6.95,2,-0.11,15,12,1
672,16,14.58,3,0.22,13,16,1
673,15,13.19,9,0.18,16,16,2
674,15,8,4,0.68,12,18,2
675,12,7.46,2,0.01,12,8,1
676,12,11.58,6,0.27,12,12,1
677,12,7.17,1,-0.34,12,12,1
678,10,5.58,2,1.03,9,9,3
679,16,14.15,2,1.8,17,16,1
680,15,5.41,5,0.47,18,16,3
681,16,15.48,2,1.05,16,16,5
682,16,18.17,5,1.26,16,16,5
683,13,5.36,6,0.72,16,16,5
684,12,9.77,5,-0.18,12,12,3
685,9,8.75,5,-1.28,9,9,5
